(1050, 966)
(868, 507)
(949, 399)
(799, 367)
(1015, 400)
(1300, 431)
(763, 375)
(855, 385)
(260, 238)
(916, 415)
(923, 417)
(1148, 381)
(1037, 446)
(1233, 479)
(994, 416)
(1181, 289)
(1324, 696)
(1907, 934)
(1919, 455)
(1254, 466)
(898, 537)
(1101, 862)
(1059, 1062)
(1147, 478)
(125, 311)
(123, 314)
(871, 378)
(871, 378)
(225, 352)
(645, 323)
(1073, 330)
(1073, 330)
(1073, 330)
(1073, 330)
(221, 331)
(261, 429)
(137, 296)
(170, 326)
(137, 296)
(137, 296)
(1183, 0)
(1248, 0)
(309, 1)
(309, 1)
(309, 1)
(206, 248)
(244, 242)
(862, 896)
(862, 896)
(862, 896)
(862, 896)
(862, 896)
(862, 896)
(862, 896)
(862, 896)
(862, 896)
(862, 896)
(862, 896)
(862, 896)
(862, 896)
(862, 896)
(862, 896)
(862, 896)
(862, 896)
(862, 896)
(862, 896)
(862, 896)
(862, 896)
(862, 896)
(862, 896)
(862, 896)
(862, 896)
(862, 896)
(862, 896)
(862, 896)
(862, 896)
(862, 896)
(862, 896)
(862, 896)
(862, 896)
(862, 896)
(862, 896)
(862, 896)
(862, 896)
(862, 896)
(862, 896)
(862, 896)
(862, 896)
(862, 896)
(862, 896)
(862, 896)
(862, 896)
(862, 896)
(862, 896)
(862, 896)
(862, 896)
(862, 896)
(862, 896)
(862, 896)
(862, 896)
(862, 896)
(862, 896)
(862, 896)
(862, 896)
(862, 896)
(862, 896)
(862, 896)
(862, 896)
(862, 896)
(862, 896)
(862, 896)
(862, 896)
(862, 896)
(862, 896)
(862, 896)
(862, 896)
(862, 896)
(862, 896)
(862, 896)
(862, 896)
(862, 896)
(862, 896)
(862, 896)
(862, 896)
(862, 896)
(862, 896)
(862, 896)
(862, 896)
(862, 896)
(862, 896)
(862, 896)
(862, 896)
(862, 896)
(862, 896)
(862, 896)
(862, 896)
(862, 896)
(862, 896)
(862, 896)
(862, 896)
(862, 896)
(862, 896)
(862, 896)
(862, 896)
(862, 896)
(862, 896)
(862, 896)
(862, 896)
(862, 896)
(862, 896)
(862, 896)
(862, 896)
(862, 896)
(862, 896)
(862, 896)
(862, 896)
(862, 896)
(862, 896)
(862, 896)
(862, 896)
(946, 595)
(946, 595)
(946, 595)
(946, 595)
(946, 595)
(946, 595)
(946, 595)
(946, 595)
(946, 595)
(946, 595)
(946, 595)
(946, 595)
(946, 595)
(946, 595)
(946, 595)
(946, 595)
(946, 595)
(946, 595)
(1504, 1057)
(1542, 944)
